( arctic_b0001 "Gad, do I remember it." )
( arctic_b0002 "You got out by fighting, and I through a pretty girl." )
( arctic_b0003 "I can see that knife now." )
( arctic_b0004 "When I can't see beauty in woman I want to die." )
( arctic_b0005 "His slim fingers closed like steel about Philip's." )
( arctic_b0006 "He seized Gregson by the arm and led him to the door." )
( arctic_b0007 "Hear the Indian dogs wailing down at Churchill." )
( arctic_b0008 "Burke himself had criticized it because of the smile." )
( arctic_b0009 "I'd say there was going to be a glorious scrap." )
( arctic_b0010 "He turned the map to Gregson, pointing with his finger." )
( arctic_b0011 "His eyes never took themselves for an instant from his companion's face." )
( arctic_b0012 "Something that Whittemore had not yet said thrilled him." )
( arctic_b0013 "Lakes and rivers, hundreds of them--thousands of them." )
( arctic_b0014 "Whitefish, Gregson, whitefish and trout." )
( arctic_b0015 "They robbed me a few years later." )
( arctic_b0016 "He chuckled as he pulled out his pipe and began filling it." )
( arctic_b0017 "Everything was working smoothly, better than I had expected." )
( arctic_b0018 "I was completely lost in my work." )
( arctic_b0019 "His slim hands gripped the edges of the table." )
( arctic_b0020 "He made no reply as he waited for Whittemore to continue." )
( arctic_b0021 "Philip dropped back into his chair." )
( arctic_b0022 "If I was out of the game it would be easily made." )
( arctic_b0023 "MacDougall, my engineer, believes it." )
( arctic_b0024 "It is growing, every day, every hour." )
( arctic_b0025 "Now, you understand." )
( arctic_b0026 "You have associated with some of these men." )
( arctic_b0027 "And there's no chivalry, no quarter shown in this fight." )
( arctic_b0028 "Lord Fitzhugh is the key to the whole situation." )
( arctic_b0029 "All operations have been carried on from Montreal and Toronto." )
( arctic_b0030 "Gregson held a lighted match until it burnt his finger-tips." )
( arctic_b0031 "Gregson had seated himself under the lamp and was sharpening a pencil." )
( arctic_b0032 "He caught himself with a jerk." )
( arctic_b0033 "How does your wager look now." )
( arctic_b0034 "He confessed that the sketch had startled him." )
( arctic_b0035 "After all, the picture was only a resemblance." )
( arctic_b0036 "He wondered, too, where Roscoe was." )
( arctic_b0037 "Philip knew that she was not an Indian." )
( arctic_b0038 "In her haste to get away she had forgotten these things." )
( arctic_b0039 "Philip took a step toward Gregson, half determined to awaken him." )
( arctic_b0040 "The thought set his blood tingling." )
( arctic_b0041 "But if Pierre did not return, until tomorrow." )
( arctic_b0042 "Ten minutes had not elapsed since he had dropped the handkerchief." )
( arctic_b0043 "It won't be for sale." )
( arctic_b0044 "For a few moments he ate in silence." )
( arctic_b0045 "Philip did not pursue the subject." )
( arctic_b0046 "Philip produced a couple of cigars and took a chair opposite him." )
( arctic_b0047 "Suppose you saw me at work through the window." )
( arctic_b0048 "He looked like one who had passed through an uncomfortable hour or two." )
( arctic_b0049 "There was nothing more, except a large ink blot under the words." )
( arctic_b0050 "All this day Gregson remained in the cabin." )
( arctic_b0051 "The sixth day he spent in the cabin with Gregson." )
( arctic_b0052 "The flush was gone from her face." )
( arctic_b0053 "That is why I am, am rattled, he laughed." )
( arctic_b0054 "He understood the meaning of the look." )
( arctic_b0055 "She was even more beautiful than when I saw her, before." )
